origin_msoa,E02003676,E02003677,E02003678,E02003679,E02003681,E02003682,E02003683,E02003685,E02003686,E02003690,E02003708,E02004852,E02004855,E02004861,E02004867,E02004873,E02004876,E02004900,E02004901,E02004903,E02004904,E02004906,E02004907,E02004908,E02004958,E02004959,E02004960,E02004961,E02004962,E02004963,E02004964,E02004965,E02004966,E02004967,E02004969,E02004971,E02004972,E02004973,E02004974,E02004975,E02004976,E02004977,E02004978,E02004979
E02003260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0,2.183406113537118,0.0
E02003676,0.7248908296943232,0.12663755458515283,0.7336244541484717,1.1004366812227073,1.0480349344978166,4.606986899563319,91.70305676855895,0.0,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.65502183406114,9.606986899563319,2.183406113537118,6.11353711790393,0.0,0.0,2.183406113537118,4.8034934497816595,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0,2.183406113537118,0.0
E02003677,1.0262008733624455,0.0,0.0,0.4497816593886463,27.842794759825328,16.95633187772926,245.33624454148472,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,201.74672489082968,92.13973799126637,2.183406113537118,38.8646288209607,2.183406113537118,10.480349344978166,0.0,77.29257641921397,0.0,0.0,0.0,0.0,0.0,0.0,42.35807860262009,6.11353711790393,2.183406113537118,2.183406113537118,0.0
E02003678,1.1834061135371179,0.13973799126637554,0.37554585152838427,0.13973799126637554,9.419213973799126,7.537117903930131,308.9694323144105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.58951965065503,51.96506550218341,5.240174672489083,66.8122270742358,2.183406113537118,2.183406113537118,0.0,19.213973799126638,0.0,0.0,0.0,0.0,0.0,0.0,54.148471615720524,6.11353711790393,0.0,0.0,0.0
E02003679,2.541484716157205,0.13973799126637554,0.4497816593886463,0.5283842794759825,3.8122270742358078,52.122270742358076,266.89519650655023,2.183406113537118,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.8340611353711,138.78602620087335,9.170305676855895,90.39301310043668,0.0,14.847161572052402,0.0,16.157205240174672,0.0,0.0,0.0,2.183406113537118,0.0,0.0,93.44978165938865,6.550218340611353,24.890829694323145,8.296943231441048,0.0
E02003681,1.0480349344978166,1.0480349344978166,2.930131004366812,0.7074235807860262,0.5502183406113537,0.36681222707423583,2.091703056768559,0.0,0.0,0.0,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.157205240174672,1.0480349344978166,2.183406113537118,14.847161572052402,0.0,0.0,0.0,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0
E02003682,0.0,5.021834061135372,1.0480349344978166,5.2314410480349345,0.0,0.0,1.0480349344978166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.366812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0,0.0,0.0
E02003683,36.68122270742358,126.646288209607,55.47161572052402,257.26637554585153,1.0480349344978166,1.0480349344978166,0.5502183406113537,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,2.183406113537118,0.0,2.3013100436681224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.580786026200874,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,5.240174672489083,2.183406113537118,2.183406113537118,0.0,0.0
E02003685,0.0,2.183406113537118,2.183406113537118,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183406113537118,0.0,0.0,0.0,0.0
