origin_region,distance_band,bt_mode,factor
East Midlands,1 to under 2 miles,RAIL,0.01
East Midlands,1 to under 2 miles,ROAD,0.7366171064744643
East Midlands,1 to under 2 miles,WALKING,3.7251047755534215
East Midlands,10 to under 25 miles,RAIL,0.6181335094626806
East Midlands,10 to under 25 miles,ROAD,1.003403016987951
East Midlands,10 to under 25 miles,WALKING,1.080243924785759
East Midlands,100 miles and over,RAIL,2.1787602425126176
East Midlands,100 miles and over,ROAD,0.8398429080429782
East Midlands,100 miles and over,SUBWAY,0.01
East Midlands,100 miles and over,WALKING,0.01
East Midlands,2 to under 5 miles,RAIL,5.602055257437977
East Midlands,2 to under 5 miles,ROAD,0.9793345241681548
East Midlands,2 to under 5 miles,WALKING,1.4411629842565346
East Midlands,25 to under 50 miles,RAIL,1.7238266961282582
East Midlands,25 to under 50 miles,ROAD,0.9724602973891686
East Midlands,25 to under 50 miles,SUBWAY,0.01
East Midlands,25 to under 50 miles,WALKING,0.01
East Midlands,5 to under 10 miles,RAIL,2.2476688844108397
East Midlands,5 to under 10 miles,ROAD,0.9974015657532469
East Midlands,5 to under 10 miles,WALKING,0.32258182126581525
East Midlands,50 to under 100 miles,RAIL,0.7525296609413791
East Midlands,50 to under 100 miles,ROAD,1.0213884788159704
East Midlands,50 to under 100 miles,SUBWAY,0.01
East Midlands,50 to under 100 miles,WALKING,0.01
East Midlands,Under 1 mile,RAIL,0.01
East Midlands,Under 1 mile,ROAD,0.27113392225997995
East Midlands,Under 1 mile,WALKING,3.7660713895548894
East of England,1 to under 2 miles,RAIL,0.503871450414853
East of England,1 to under 2 miles,ROAD,0.6911466694953357
East of England,1 to under 2 miles,SUBWAY,2.8115214541388895
East of England,1 to under 2 miles,WALKING,4.138754167629185
East of England,10 to under 25 miles,RAIL,1.0392822672603497
East of England,10 to under 25 miles,ROAD,0.9853716358457533
East of England,10 to under 25 miles,SUBWAY,6.729481324454063
East of England,10 to under 25 miles,WALKING,3.826868969183399
East of England,100 miles and over,RAIL,2.76950626049825
East of England,100 miles and over,ROAD,0.8629074479590022
East of England,100 miles and over,SUBWAY,0.01
East of England,100 miles and over,WALKING,0.01
East of England,2 to under 5 miles,RAIL,1.3496740867243027
East of England,2 to under 5 miles,ROAD,0.9584395568515435
East of England,2 to under 5 miles,SUBWAY,21.594461837624973
East of England,2 to under 5 miles,WALKING,2.049424757104177
East of England,25 to under 50 miles,RAIL,1.9150079864856149
East of England,25 to under 50 miles,ROAD,0.847065454117331
East of England,25 to under 50 miles,SUBWAY,0.01
East of England,25 to under 50 miles,WALKING,0.01
East of England,5 to under 10 miles,RAIL,1.5518589313407418
East of England,5 to under 10 miles,ROAD,0.9931190412460535
East of England,5 to under 10 miles,SUBWAY,9.105285109811067
East of England,5 to under 10 miles,WALKING,0.5535504760297021
East of England,50 to under 100 miles,RAIL,2.5578567922046367
East of England,50 to under 100 miles,ROAD,0.7874041842632847
East of England,50 to under 100 miles,SUBWAY,0.01
East of England,50 to under 100 miles,WALKING,0.01
East of England,Under 1 mile,RAIL,0.01
East of England,Under 1 mile,ROAD,0.23752987656238497
East of England,Under 1 mile,SUBWAY,5.6421887757457325
East of England,Under 1 mile,WALKING,3.86223424669782
London,1 to under 2 miles,RAIL,0.25933973975308555
London,1 to under 2 miles,ROAD,0.6341009508051518
London,1 to under 2 miles,SUBWAY,1.0530963276711267
London,1 to under 2 miles,WALKING,7.261376604692746
London,10 to under 25 miles,RAIL,0.9424576490896635
London,10 to under 25 miles,ROAD,0.7189798267800189
London,10 to under 25 miles,SUBWAY,5.823222701076195
London,10 to under 25 miles,WALKING,8.042762086961831
London,100 miles and over,RAIL,0.9267502523138995
London,100 miles and over,ROAD,1.0479015500228508
London,100 miles and over,SUBWAY,0.01
London,100 miles and over,WALKING,0.01
