origin_region,distance_band,bt_mode,volume,volume_adj,bt_share_before,bt_share_after,nts_share
East Midlands,1 to under 2 miles,RAIL,213460,1923,0.0005298737303404025,4.77345764525801e-06,0.0
East Midlands,1 to under 2 miles,ROAD,367080380,270397659,0.9112070190451255,0.6712073700537797,0.671210677768979
East Midlands,1 to under 2 miles,WALKING,35556854,132453055,0.08826310722453416,0.328787856488575,0.32878932223102103
East Midlands,10 to under 25 miles,RAIL,5443317,3359554,0.01728947266186785,0.010706824611850463,0.010687202413857582
East Midlands,10 to under 25 miles,ROAD,309058526,310059694,0.9816549240461605,0.9881534164540957,0.9849955124299988
East Midlands,10 to under 25 miles,WALKING,332340,357630,0.0010556032919716344,0.0011397589340537706,0.0011403090442164497
East Midlands,100 miles and over,RAIL,1894036,4141821,0.1197636944083179,0.26646924444018966,0.2609363758754525
East Midlands,100 miles and over,ROAD,13917038,11401515,0.8800022207080265,0.7335307555598103,0.7390636241245475
East Midlands,100 miles and over,SUBWAY,1662,0,0.00010509159282433087,0.0,0.0
East Midlands,100 miles and over,WALKING,2040,0,0.00012899329083130865,0.0,0.0
East Midlands,2 to under 5 miles,RAIL,991662,5555257,0.0014944468307230697,0.008374675444518476,0.00837197373061575
East Midlands,2 to under 5 miles,ROAD,643285823,629991883,0.9694396472098674,0.9497269978339539,0.9494057156109987
East Midlands,2 to under 5 miles,WALKING,19287106,27792835,0.029065905959409458,0.04189832672152768,0.04188870777402349
East Midlands,25 to under 50 miles,RAIL,3060932,5309106,0.03674292042364172,0.06357763146233093,0.06333842712171363
East Midlands,25 to under 50 miles,ROAD,80239984,78196768,0.963187469341457,0.9364223086616452,0.9366615728782864
East Midlands,25 to under 50 miles,SUBWAY,5,0,6.001917132370422e-08,0.0,0.0
East Midlands,25 to under 50 miles,WALKING,5794,5,6.955021572990845e-05,5.987602381863437e-08,0.0
East Midlands,5 to under 10 miles,RAIL,1844107,4141144,0.0040024341895837515,0.009039670560542355,0.008996146792077183
East Midlands,5 to under 10 miles,ROAD,453344220,452168222,0.983934449453409,0.9870344438218472,0.9813777604843865
East Midlands,5 to under 10 miles,WALKING,5558037,1798479,0.012063116357007214,0.003925885617610412,0.0038913420449074154
East Midlands,50 to under 100 miles,RAIL,3539079,2708062,0.07912475177371085,0.06097364623085332,0.05954372262509394
East Midlands,50 to under 100 miles,ROAD,41183718,41705585,0.9207625667210333,0.9390263537691467,0.940456277374906
East Midlands,50 to under 100 miles,SUBWAY,624,0,1.3951043507871843e-05,0.0,0.0
East Midlands,50 to under 100 miles,WALKING,4416,0,9.873046174801612e-05,0.0,0.0
East Midlands,Under 1 mile,RAIL,260330,2397,0.0003526795958422158,3.2473026274628668e-06,0.0
East Midlands,Under 1 mile,ROAD,583927957,158322656,0.7910708557435976,0.21448543046128477,0.21448614390359153
East Midlands,Under 1 mile,WALKING,153960455,579826045,0.20857646466056023,0.7855113222360878,0.7855138560964084
East of England,1 to under 2 miles,RAIL,1422596,718140,0.0029019764355097425,0.00146494125931111,0.0014622230761338905
East of England,1 to under 2 miles,ROAD,444775512,307405121,0.90730471259288,0.6270789053338125,0.6270806303266829
East of England,1 to under 2 miles,SUBWAY,64745,182031,0.00013207436567871572,0.000371326931202357,0.0003713299154590157
East of England,1 to under 2 miles,WALKING,43953395,181912316,0.0896612366059315,0.37108482647567403,0.3710858166817242
